,Name,Year,Genres,Rating,Duration,Actors,Director,Average Rating,Budget,Opening Weekend,Gross US,Gross WW,Language,Production Company
927,Into the Blue,2005,[],P,110,[],NA,5.9,50000000,7057854,18472363 30 October 2005,44434439 2 January 2006,['English'],"['ColumbiaPicturesCorporation', 'MandalayPictures', 'Metro-Goldwyn-Mayer(MGM)']"
928,Just Friends,2005,"['Comedy', 'Romance']",P, 96,"['Ryan Reynolds', 'Amy Smart', 'Anna Faris', 'Chris Klein']",Roger Kumble,6.2,NA,9191331,32619671 9 February 2006,50817508,['English'],"['InfernoDistribution', 'CinerentaMedienbeteiligungsKG', 'BenderSpink']"
929,Transporter 2,2005,"['Action', 'Crime', 'Thriller']",P, 87,"['Jason Statham', 'Amber Valletta', 'Kate Nauta', 'Alessandro Gassman']",Louis Leterrier,6.3,32000000,20104608,43095600,88978202,"['English', 'French', 'Italian']","['EuropaCorp', 'TF1FilmsProduction', 'CurrentEntertainment']"
930,Waiting...,2005,Comedy,R, 94,"['Ryan Reynolds', 'Anna Faris', 'John Francis Daley', 'Justin Long']",Rob McKittrick,6.8,3000000,6021106,16124543,NA,"['English', 'German']","['EdenRockMedia', 'ElementFilms', 'L.I.F.T.Production']"
931,Hostel,2005,Horror,R, 94,"['Jay Hernandez', 'Derek Richardson', 'Eythor Gudjonsson', 'Barbara Nedeljakova']",Eli Roth,5.9,4800000,19556099,47326473,80578934,"['English', 'Czech', 'German', 'Dutch', 'Slovak', 'Japanese', 'Icelandic', 'Russian', 'Spanish']","['NextEntertainment', 'RawNerve', 'InternationalProductionCompany']"
932,Ice Age: The Meltdown,2006,[],P, 91,[],NA,6.8,80000000,68033544,195330621,660940780,['English'],"['TwentiethCenturyFoxAnimation', 'BlueSkyStudios']"
933,Ultraviolet,2006,[],P, 88,[],NA,4.4,30000000,9064880,18500966 2 April 2006,12534399,"['English', 'Vietnamese']","['ScreenGems', 'UltraviProductions']"
934,The Wild,2006,"['Animation', 'Adventure', 'Comedy', 'Family']",NA,NA,"['Kiefer Sutherland', 'Jim Belushi', 'Eddie Izzard', 'Janeane Garofalo']",Steve \u0027Spaz\u0027 Williams,5.3,80000000,9684809,37384046,102338515,['English'],"['C.O.R.E.FeatureAnimation', 'Contrafilm', 'HoytyboyPictures']"
935,Catch and Release,2006,[],P,112,[],NA,6.0,25000000,7658898,15269668 18 February 2007,NA,['English'],"['ColumbiaPicturesCorporation', 'RelativityMedia', 'TallTreesProductions']"
936,Happy Feet,2006,"['Animation', 'Adventure', 'Comedy', 'Family', 'Music', 'Musical', 'Romance']",P,108,"['Elijah Wood', 'Brittany Murphy', 'Hugh Jackman', 'Robin Williams']",NA,6.5,100000000,41533432,198000317 10 May 2007,384335608 10 May 2007,['English'],"['WarnerBros.', 'VillageRoadshowPictures', 'KennedyMillerProductions']"
